"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Police personnel and selected crime statistics, municipal police services",35100077,254-0004,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510007701",,"CURRENT - a cube available to the public and that is current",Annual,2000-01-01,2019-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,1,
2,Statistics,1;12;17,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"St. John's, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",[10500],1,,,,
1,"Labrador, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",[10501],2,,,,
1,"Corner Brook, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal",[10502],3,,,,
1,"Charlottetown, Prince Edward Island, municipal",[11002],4,,,,
1,"Summerside, Prince Edward Island, municipal",[11007],5,,,,
1,"Kensington, Prince Edward Island, municipal",[11009],6,,,,
1,"Borden-Carleton, Prince Edward Island, municipal",[11013],7,,,,
1,"Montague, Prince Edward Island, Royal Canadian Mounted Police, municipal",[11709],8,,,,
1,"Stratford, Prince Edward Island, Royal Canadian Mounted Police, municipal",[11714],9,,,,
1,"Amherst, Nova Scotia, municipal",[12001],10,,,,
1,"Annapolis Royal, Nova Scotia, municipal",[12002],11,,,,
1,"Bridgewater, Nova Scotia, municipal",[12006],12,,,,
1,"Cape Breton Region, Nova Scotia, municipal",[12018],14,,,,
1,"Halifax, Nova Scotia, municipal",[12020],15,,,14;15,
1,"Hantsport, Nova Scotia, municipal",[12021],16,,,,
1,"Kentville, Nova Scotia, municipal",[12023],17,,,,
1,"Lunenburg, Nova Scotia, municipal",[12029],18,,,,
1,"Springhill, Nova Scotia, municipal",[12043],20,,,,
1,"Stellarton, Nova Scotia, municipal",[12044],21,,,,
1,"Sydney, Nova Scotia, municipal",[12048],22,,,,
1,"Truro, Nova Scotia, municipal",[12052],23,,,,
1,"Westville, Nova Scotia, municipal",[12054],24,,,,
