REF_DATE,GEO,DGUID,CDUID,Authorized_police_officer_strength,Authorized_police_officer_strength_per100k_population,Crime_severity_index,Female_police_officers,Male_police_officers,Net_gain_or_loss_hirings_and_departures,Police_officers_eligible_to_retire,Police_officers_per_100k_population,Population,Total_number_of_civilian_and_other_personnel,Total_number_of_police_officers,Weighted_clearance_rate
2000,"Abbotsford, British Columbia, municipal",59009,5900,138,116,111.77,17,129,,,122.7,118948,39,146,22.84
2000,"Addington Highlands, Ontario, Ontario Provincial Police, municipal",35086,3508,7,279.3,108.22,,,,,279.3,2506,1,7,29.03
2000,"Admaston/Bromley, Ontario, Ontario Provincial Police, municipal",35166,3516,,,,,,,,,,,,
2000,"Airdrie, Alberta, Royal Canadian Mounted Police, municipal",48899,4889,15,75,65.72,5,10,,,75,20010,0,15,26.56
2000,"Akwesasne Mohawk, Ontario, municipal",35002,3500,24,590.6,72.68,0,24,,,590.6,4064,8,24,66.87
2000,"Alexandria, Ontario, municipal",35003,3500,0,,,0,0,,,,,0,0,
2000,"Alma, Quebec, municipal",24003,2400,34,127.9,95.64,,,,,127.9,26577,13,34,28.05
2000,"Altona, Manitoba, municipal",46001,4600,5,143.8,51.84,0,5,,,143.8,3476,1,5,51.15
2000,"Amherst, Nova Scotia, municipal",12001,1200,21,214.5,150.33,,,,,204.3,9790,8,20,31.74
2000,"Amherstburg, Ontario, municipal",35007,3500,28,134.5,44.3,4,24,,,134.5,20821,3,28,36.09
2000,"Amos, Quebec, municipal",24004,2400,19,140.5,84.47,,,,,140.5,13526,5,19,31.84
2000,"Anishinabek, Ontario, municipal",35006,3500,62,708.4,14.45,7,50,,,651.3,8752,19,57,100
2000,"Annapolis Royal, Nova Scotia, municipal",12002,1200,3,521.7,,,,,,521.7,575,0,3,
2000,"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12752,1275,8,162.8,118.31,,,,,203.5,4914,0,10,50.02
2000,"Apsley (North Kawartha), Ontario, Ontario Provincial Police, municipal",35085,3508,3,135.5,57.58,,,,,135.5,2214,0,3,37.6
2000,"Armstrong, British Columbia, Royal Canadian Mounted Police, municipal",59041,5904,,,,,,,,,,,,
2000,"Arnprior, Ontario, Ontario Provincial Police, municipal",35458,3545,12,161.1,88.53,,,,,161.1,7449,0,12,40.44
2000,"Asbestos, Quebec, municipal",24011,2401,13,192.8,49.27,0,10,,,148.3,6742,4,10,49.76
2000,"Assiniboia, Saskatchewan, Royal Canadian Mounted Police, municipal",47880,4788,3,116.3,103.78,,,,,77.5,2580,0,2,49.07
2000,"Athabaska, Alberta, Royal Canadian Mounted Police, municipal",48792,4879,4,162.9,241.19,,,,,122.1,2456,0,3,31.49
2000,"Atikokan, Ontario, municipal",35353,3535,11,286.3,92.96,,,,,286.3,3842,2,11,34.08
2000,"Aylmer, Ontario, municipal",35014,3501,13,176.1,92.2,,,,,176.1,7383,1,13,45.64
2000,"Aylmer, Quebec, municipal",24155,2415,45,123.8,59.66,5,39,,,121.1,36335,22,44,31.99
